operation_name,file_path,category,subcategory,status,impl_percent,tests_written,tests_passing,assigned_to,start_date,estimated_finish,notes,priority,complexity
saxpy,src/blas/l1/saxpy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Single precision: y := alpha*x + y,1,Easy
daxpy,src/blas/l1/daxpy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Double precision variant of SAXPY,1,Easy
caxpy,src/blas/l1/caxpy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Complex single precision variant,1,Easy
zaxpy,src/blas/l1/zaxpy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Complex double precision variant,1,Easy
sscal,src/blas/l1/sscal.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Scale vector by scalar (single precision),1,Easy
dscal,src/blas/l1/dscal.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Scale vector by scalar (double precision),1,Easy
cscal,src/blas/l1/cscal.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Scale vector by scalar (complex single),1,Easy
zscal,src/blas/l1/zscal.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Scale vector by scalar (complex double),1,Easy
scopy,src/blas/l1/scopy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Copy vector (single precision),1,Easy
dcopy,src/blas/l1/dcopy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Copy vector (double precision),1,Easy
ccopy,src/blas/l1/ccopy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Copy vector (complex single),1,Easy
zcopy,src/blas/l1/zcopy.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Copy vector (complex double),1,Easy
sswap,src/blas/l1/sswap.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Swap vectors (single precision),1,Easy
dswap,src/blas/l1/dswap.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Swap vectors (double precision),1,Easy
cswap,src/blas/l1/cswap.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Swap vectors (complex single),1,Easy
zswap,src/blas/l1/zswap.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Swap vectors (complex double),1,Easy
sdot,src/blas/l1/sdot.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Dot product (single precision),1,Easy
ddot,src/blas/l1/ddot.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Dot product (double precision),1,Easy
cdotu,src/blas/l1/cdotu.c,BLAS L1,Vector Operations,QUEUED,0,0,0,,,,Dot product unconjugated (complex single),1,Easy
