CAT	STEM	SYMBOL	FILE
3_REF_IN_SOURCE	chseqr	chseqr_ref	src/lapack/drivers/cgeev_ref.c
3_REF_IN_SOURCE	ctrevc	ctrevc_ref	src/lapack/drivers/cgeev_ref.c
3_REF_IN_SOURCE	dhseqr	dhseqr_ref	src/lapack/drivers/dgeev_ref.c
3_REF_IN_SOURCE	dtrevc	dtrevc_ref	src/lapack/drivers/dgeev_ref.c
3_REF_IN_SOURCE	shseqr	shseqr_ref	src/lapack/drivers/sgeev_ref.c
3_REF_IN_SOURCE	strevc	strevc_ref	src/lapack/drivers/sgeev_ref.c
3_REF_IN_SOURCE	zhseqr	zhseqr_ref	src/lapack/drivers/zgeev_ref.c
3_REF_IN_SOURCE	ztrevc	ztrevc_ref	src/lapack/drivers/zgeev_ref.c
4_PLAIN_IN_SOURCE	cbdsdc	cbdsdc	src/lapack/drivers/cbdsdc.c
4_PLAIN_IN_SOURCE	cbdsqr	cbdsqr	src/lapack/computational/cbdsqr.c
4_PLAIN_IN_SOURCE	cgbcon	cgbcon	src/lapack/computational/cgbcon.c
4_PLAIN_IN_SOURCE	cgbequ	cgbequ	src/lapack/computational/cgbequ.c
4_PLAIN_IN_SOURCE	cgbmvx	cgbmvx	src/lapack/auxiliary/cgbmvx.c
4_PLAIN_IN_SOURCE	cgbrfs	cgbrfs	src/lapack/computational/cgbrfs.c
4_PLAIN_IN_SOURCE	cgbsvx	cgbsvx	src/lapack/drivers/gbsvx_ref.c
4_PLAIN_IN_SOURCE	cgbtrf	cgbtrf	src/lapack/computational/cgbtrf.c
4_PLAIN_IN_SOURCE	cgbtrs	cgbtrs	src/lapack/computational/cgbtrs.c
4_PLAIN_IN_SOURCE	cgebak	cgebak	src/lapack/computational/cgebak.c
4_PLAIN_IN_SOURCE	cgebal	cgebal	src/lapack/computational/cgebal.c
4_PLAIN_IN_SOURCE	cgebd2	cgebd2	src/lapack/computational/cgebd2.c
4_PLAIN_IN_SOURCE	cgecon	cgecon	src/lapack/computational/cgecon.c
4_PLAIN_IN_SOURCE	cgeequ	cgeequ	src/lapack/computational/cgeequ.c
4_PLAIN_IN_SOURCE	cgeesx	cgeesx	src/lapack/drivers/missing_stubs.c
4_PLAIN_IN_SOURCE	cgehd2	cgehd2	src/lapack/computational/cgehd2.c
4_PLAIN_IN_SOURCE	cgelq2	cgelq2	src/lapack/computational/cgelq2.c
4_PLAIN_IN_SOURCE	cgelsd	cgelsd	src/lapack/drivers/missing_stubs.c
4_PLAIN_IN_SOURCE	cgelsy	cgelsy	src/lapack/auxiliary/cgelsy.c
4_PLAIN_IN_SOURCE	cgeql2	cgeql2	src/lapack/computational/cgeql2.c
4_PLAIN_IN_SOURCE	cgeqlf	cgeqlf	src/lapack/computational/cgeqlf.c
